Years,AvgWater_AF,SumWater_AF,AvgWater_m3,SumWater_m3,date
1998,60.644015496035955,21589.2695165888,74803.18023405044,26629932.163321953,1998-01-01
1999,53.304523746358704,18976.4104537037,65750.06395065853,23407022.76643444,1999-01-01
2000,74.17335410401067,26405.7140610278,91491.34882021508,32570920.179996572,2000-01-01
2001,70.74823992847276,25186.3734145363,87266.53898697258,31066887.879362237,2001-01-01
2002,79.40313011937444,28267.5143224973,97942.17293964599,34867413.56651397,2002-01-01
2003,74.92598330641039,26673.6500570821,92419.70188879108,32901413.87240963,2003-01-01
2004,56.84105065176095,20235.4140320269,70112.2991579341,24959978.500224542,2004-01-01
2005,66.23081493716349,23578.1701176302,81694.38560869242,29083201.276694503,2005-01-01
2006,61.529445189310955,21904.4824873947,75895.34005211128,27018741.058551613,2006-01-01
2007,62.406189922867696,22216.6036125409,76976.78714605885,27403736.223996952,2007-01-01
2008,51.98008219506152,18504.9092614419,64116.391785964486,22825435.475803353,2008-01-01
2009,58.48333642678736,20820.0677679363,72138.02581571367,25681137.190394066,2009-01-01
2010,70.06585945318454,24943.4459653337,86424.83631831408,30767241.72931981,2010-01-01
2011,81.02964469284719,28846.5535106536,99948.44613573315,35581646.824321,2011-01-01
2012,74.81201947560675,26633.078933316,92279.12978277142,32851370.202666618,2012-01-01
2013,57.25453989724213,20382.6162034182,70622.32987245022,25141549.434592284,2013-01-01
2014,64.10642169971882,22821.8861250999,79073.98903816918,28150340.097588226,2014-01-01
2015,60.966804621773036,21704.182445351198,75201.3341648646,26771674.962691795,2015-01-01
2016,45.59498399549382,16231.8143023958,56240.50085876172,20021618.30571917,2016-01-01
2017,66.3793256074441,23631.0399162501,81877.57055027015,29148415.115896177,2017-01-01
2018,54.862381457329775,19531.0077988094,67671.65027998714,24091107.499675423,2018-01-01
